"cat_no","context","figure_num","gender","descriptor_text","n_descriptors","n_in_dict","coverage_pct","dirmean_Warmth","dirmean_Competence","dirmean_Sociability","dirmean_Morality","dirmean_Ability","dirmean_Assertiveness","dirmean_Status","dirmean_Beliefs","dirmean_health","dirmean_deviance","dirmean_beauty","dirmean_Politics","dirmean_Religion","n_dirmean_Warmth","n_dirmean_Competence","n_dirmean_Sociability","n_dirmean_Morality","n_dirmean_Ability","n_dirmean_Assertiveness","n_dirmean_Status","n_dirmean_Beliefs","n_dirmean_health","n_dirmean_deviance","n_dirmean_beauty","n_dirmean_Politics","n_dirmean_Religion","asymmetry"
"P005481","religious",1,"Male","The central figure is kneeling with his hands clasped together in prayer. His head is bowed, and his eyes are closed, suggesting deep contemplation or submission. He appears passive and submissive.",17,9,52.9411764705882,NA,0.2,NA,NA,1,-1,1,1,NA,NA,NA,NA,1,0,5,0,0,2,3,1,1,0,0,0,0,1,NA
"P005481","religious",2,"Male","This figure stands to the left of the central figure, holding a staff or cross. His posture is upright, and he looks down at the central figure, indicating a position of authority or dominance. His expression is serious and commanding.",15,9,60,0.5,0.875,NA,0.5,0.75,1,1,NA,NA,NA,NA,NA,NA,2,4,0,2,2,2,4,0,0,0,0,0,0,-0.375
"P005481","religious",3,"Male","This figure is positioned behind the central figure, slightly to the right. He is also kneeling and appears to be in a state of prayer or meditation. His gaze is directed towards the central figure, suggesting a supportive role rather than one of dominance.",13,7,53.8461538461538,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,0.5,1,3,1,0,1,2,2,2,0,0,0,0,2,0
"P005481","religious",4,"Male","This figure is standing to the right of the central figure, holding a book open. His posture is upright, and he seems to be reading or studying from the book. His expression is focused and attentive, indicating an active and engaged role.",16,11,68.75,0.666666666666667,0.9,1,0.5,0.875,1,1,NA,NA,NA,NA,NA,NA,3,5,1,2,4,2,1,0,0,0,0,0,0,-0.233333333333333
"P005481","religious",5,"Male","This figure is standing further back, near the center-right of the painting. He is holding a staff or cross and appears to be in a position of leadership or guidance. His gaze is directed towards the central figure, suggesting a role of authority or mentorship.",18,9,50,1,1,1,NA,1,NA,1,0,NA,NA,NA,0,NA,1,1,1,0,1,0,4,1,0,0,0,1,0,0
"P005481","religious",6,"Male","This figure is standing to the far right, partially obscured by shadows. He is holding a staff or cross and appears to be in a position of authority or leadership. His gaze is directed towards the central figure, indicating a role of guidance or oversight.",19,7,36.8421052631579,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,4,0,0,0,0,0,0,0
"P005481","religious",7,"Male","This figure is standing to the far left, partially obscured by shadows. He is holding a staff or cross and appears to be in a position of authority or leadership. His gaze is directed towards the central figure, indicating a role of guidance or oversight.",20,7,35,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,4,0,0,0,0,0,0,0
"P005481","religious",8,"Male","This figure is standing to the far right, partially obscured by shadows. He is holding a staff or cross and appears to be in a position of authority or leadership. His gaze is directed towards the central figure, indicating a role of guidance or oversight.",19,7,36.8421052631579,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,4,0,0,0,0,0,0,0
"P005481","religious",9,"Male","This figure is standing to the far left, partially obscured by shadows. He is holding a staff or cross and appears to be in a position of authority or leadership. His gaze is directed towards the central figure, indicating a role of guidance or oversight.",20,7,35,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,4,0,0,0,0,0,0,0
"P005481","religious",10,"Male","This figure is standing to the far right, partially obscured by shadows. He is holding a",6,1,16.6666666666667,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,NA
"P001240","religious",1,"Female","The figure lies on her side, draped partially by a rich, dark red fabric that covers much of her body. Her head rests on a wooden block, and her arm is extended outward, resting on another block. Her gaze is directed downward, and her facial expression appears serene yet somber. She seems passive and vulnerable, with no indication of dominance or authority. The overall posture suggests a state of rest or perhaps even sleep.",35,18,51.4285714285714,-0.333333333333333,-0.0714285714285714,0,-0.5,0.125,-0.333333333333333,1,NA,NA,NA,NA,NA,NA,3,7,1,2,4,3,3,0,0,0,0,0,0,-0.261904761904762
"P003507","religious",1,"Male","The man is standing with his hands outstretched, gesturing towards the group of people. His posture is open and engaging, suggesting he is speaking or explaining something. His facial expression appears calm and composed, indicating he is in control of the situation. He seems to be dominant and authoritative, actively engaging with the others.",21,10,47.6190476190476,0.666666666666667,0.566666666666667,1,0.5,0.5,0.583333333333333,0.777777777777778,NA,NA,NA,NA,NA,NA,3,5,1,2,1,4,3,0,0,0,0,0,0,0.1
"P003507","religious",2,"Female","The woman is kneeling, leaning forward slightly, with her hands clasped together. Her gaze is directed upwards towards the man, showing a sense of reverence or submission. Her facial expression is one of quiet contemplation or perhaps slight fear. She appears submissive and passive, focused on the man's words or actions.",21,13,61.9047619047619,0,-0.142857142857143,0,NA,1,-0.666666666666667,NA,NA,NA,NA,NA,NA,NA,3,7,3,0,2,6,0,0,0,0,0,0,0,0.142857142857143
"P003507","religious",3,"Female","The woman is sitting on the ground, leaning back against another person. She has a distressed or pained expression, with her mouth slightly open as if she is crying or gasping for air. Her posture suggests she is in distress or discomfort, and she appears passive and vulnerable.",19,11,57.8947368421053,0.5,-0.5,NA,0.5,0.5,-1,NA,NA,NA,NA,NA,NA,NA,2,3,0,2,1,2,0,0,0,0,0,0,0,1
"P003507","religious",4,"Female","The woman is kneeling, leaning forward with her hands resting on her lap. Her gaze is directed towards the man, and her facial expression is one of concern or worry. She appears to be listening intently and is likely feeling submissive or subordinate in this interaction.",19,9,47.3684210526316,1,-1,1,NA,NA,-1,-1,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,0,0,0,0,0,0,2
"P003507","religious",5,"Female","The woman is kneeling, leaning forward with her hands clasped together. Her gaze is directed towards the man, and her facial expression is one of concern or worry. She appears to be listening intently and is likely feeling submissive or subordinate in this interaction.",18,8,44.4444444444444,1,-1,1,NA,NA,-1,-1,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,0,0,0,0,0,0,2
"P003507","religious",6,"Male","The man is standing, leaning slightly forward with his hands resting on his knees. His gaze is directed towards the group, and his facial expression is one of concern or worry. He appears to be listening intently and is likely feeling submissive or subordinate in this interaction.",18,7,38.8888888888889,1,-1,1,NA,NA,-1,-1,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,0,0,0,0,0,0,2
"P003507","religious",7,"Male","The man is standing, leaning slightly forward with his hands resting on his knees. His gaze is directed towards the group, and his facial expression is one of concern or worry. He appears to be listening intently and is likely feeling submissive or subordinate in this interaction.",18,7,38.8888888888889,1,-1,1,NA,NA,-1,-1,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,0,0,0,0,0,0,2
"P003507","religious",8,"Male","The man is standing, leaning slightly forward with his hands resting on his knees. His gaze is directed towards the group, and his facial expression is one of concern or worry. He appears to be listening intently and is likely feeling submissive or subordinate in this interaction.",18,7,38.8888888888889,1,-1,1,NA,NA,-1,-1,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,0,0,0,0,0,0,2
"P002917","religious",1,"Female","The woman is seated with her body slightly turned towards the man, her gaze directed at him with a calm and composed expression. Her posture suggests she is engaged in conversation but not overly assertive. She appears to be passive and receptive.",17,10,58.8235294117647,0.5,0.3,1,0.5,0.5,0.25,NA,NA,NA,NA,NA,NA,NA,2,5,1,2,1,4,0,0,0,0,0,0,0,0.2
"P002917","religious",2,"Male","The man stands with his body angled towards the woman, his gaze fixed on her with an attentive and possibly curious expression. His posture indicates he is actively involved in the interaction, suggesting he may be dominant or authoritative in this scene.",17,9,52.9411764705882,0.333333333333333,0.833333333333333,0.5,0,0.75,1,1,NA,NA,NA,NA,NA,NA,3,3,2,1,2,1,2,0,0,0,0,0,0,-0.5
"P000129","religious",1,"Male","The central figure is shirtless, with his right arm bent at the elbow and his hand resting on his hip. His gaze is directed downward, and his facial expression appears contemplative and somewhat pensive. He seems to be in a passive state, possibly reflecting or enduring a moment of introspection.",22,13,59.0909090909091,NA,0.5,NA,NA,1,0,0.5,0,NA,0,NA,0,NA,0,4,0,0,2,2,2,1,0,1,0,1,0,NA
"P000129","religious",2,"Male","The second male figure is partially obscured by the central figure but appears to be supporting him from behind. His gaze is directed toward the central figure, and his facial expression suggests concern or attentiveness. This figure appears to be dominant and nurturing, providing support to the central figure.",18,9,50,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,1,1,2,0,0,0,0,0,0,0
