cat_no,context,figure_num,gender,qualifier,descriptor_text,descriptor_length,word_count
P005481,religious,1,Male,,"The central figure is kneeling with his hands clasped together in prayer. His head is bowed, and his eyes are closed, suggesting deep contemplation or submission. He appears passive and submissive.",197,31
P005481,religious,2,Male,,"This figure stands to the left of the central figure, holding a staff or cross. His posture is upright, and he looks down at the central figure, indicating a position of authority or dominance. His expression is serious and commanding.",235,40
P005481,religious,3,Male,,"This figure is positioned behind the central figure, slightly to the right. He is also kneeling and appears to be in a state of prayer or meditation. His gaze is directed towards the central figure, suggesting a supportive role rather than one of dominance.",257,44
P005481,religious,4,Male,,"This figure is standing to the right of the central figure, holding a book open. His posture is upright, and he seems to be reading or studying from the book. His expression is focused and attentive, indicating an active and engaged role.",238,42
P005481,religious,5,Male,,"This figure is standing further back, near the center-right of the painting. He is holding a staff or cross and appears to be in a position of leadership or guidance. His gaze is directed towards the central figure, suggesting a role of authority or mentorship.",261,45
P005481,religious,6,Male,,"This figure is standing to the far right, partially obscured by shadows. He is holding a staff or cross and appears to be in a position of authority or leadership. His gaze is directed towards the central figure, indicating a role of guidance or oversight.",256,45
P005481,religious,7,Male,,"This figure is standing to the far left, partially obscured by shadows. He is holding a staff or cross and appears to be in a position of authority or leadership. His gaze is directed towards the central figure, indicating a role of guidance or oversight.",255,45
P005481,religious,8,Male,,"This figure is standing to the far right, partially obscured by shadows. He is holding a staff or cross and appears to be in a position of authority or leadership. His gaze is directed towards the central figure, indicating a role of guidance or oversight.",256,45
P005481,religious,9,Male,,"This figure is standing to the far left, partially obscured by shadows. He is holding a staff or cross and appears to be in a position of authority or leadership. His gaze is directed towards the central figure, indicating a role of guidance or oversight.",255,45
P005481,religious,10,Male,,"This figure is standing to the far right, partially obscured by shadows. He is holding a",88,16
P001240,religious,1,Female,,"The figure lies on her side, draped partially by a rich, dark red fabric that covers much of her body. Her head rests on a wooden block, and her arm is extended outward, resting on another block. Her gaze is directed downward, and her facial expression appears serene yet somber. She seems passive and vulnerable, with no indication of dominance or authority. The overall posture suggests a state of rest or perhaps even sleep.",427,74
P003507,religious,1,Male,,"The man is standing with his hands outstretched, gesturing towards the group of people. His posture is open and engaging, suggesting he is speaking or explaining something. His facial expression appears calm and composed, indicating he is in control of the situation. He seems to be dominant and authoritative, actively engaging with the others.",345,54
P003507,religious,2,Female,,"The woman is kneeling, leaning forward slightly, with her hands clasped together. Her gaze is directed upwards towards the man, showing a sense of reverence or submission. Her facial expression is one of quiet contemplation or perhaps slight fear. She appears submissive and passive, focused on the man's words or actions.",322,51
P003507,religious,3,Female,,"The woman is sitting on the ground, leaning back against another person. She has a distressed or pained expression, with her mouth slightly open as if she is crying or gasping for air. Her posture suggests she is in distress or discomfort, and she appears passive and vulnerable.",279,48
P003507,religious,4,Female,,"The woman is kneeling, leaning forward with her hands resting on her lap. Her gaze is directed towards the man, and her facial expression is one of concern or worry. She appears to be listening intently and is likely feeling submissive or subordinate in this interaction.",271,46
P003507,religious,5,Female,,"The woman is kneeling, leaning forward with her hands clasped together. Her gaze is directed towards the man, and her facial expression is one of concern or worry. She appears to be listening intently and is likely feeling submissive or subordinate in this interaction.",269,44
P003507,religious,6,Male,,"The man is standing, leaning slightly forward with his hands resting on his knees. His gaze is directed towards the group, and his facial expression is one of concern or worry. He appears to be listening intently and is likely feeling submissive or subordinate in this interaction.",281,47
P003507,religious,7,Male,,"The man is standing, leaning slightly forward with his hands resting on his knees. His gaze is directed towards the group, and his facial expression is one of concern or worry. He appears to be listening intently and is likely feeling submissive or subordinate in this interaction.",281,47
P003507,religious,8,Male,,"The man is standing, leaning slightly forward with his hands resting on his knees. His gaze is directed towards the group, and his facial expression is one of concern or worry. He appears to be listening intently and is likely feeling submissive or subordinate in this interaction.",281,47
